"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Participation-margin CATE","Marital status (detailed)","Married - Never married",0.00361447325112023,-0.0250787221286059,0.0262564518875576,0.00294872228409829,-0.0260004799314393,0.0270150093898074,0.00101259953072527,-0.0200723155399885,0.0259697601081851,0.697
"Participation-margin CATE","Marital status (detailed)","Married - Under 16",0.0667354637837435,0.0214139478574264,0.113600226818602,0.0717070556346067,0.0274863030769735,0.116330728900634,0.0013303138015523,0.0266038018183543,0.116810309450859,0.999875
"Participation-margin CATE","Marital status (detailed)","Widowed - Divorced",-0.0168726972230424,-0.0840427679083301,0.0309902721928806,-0.0165680764317748,-0.0837348108436355,0.0311144538629153,0.00146955080280079,-0.071832856490268,0.0386967036267184,0.2385
"Participation-margin CATE","Marital status (detailed)","Widowed - Separated",-0.00623378508061083,-0.0943116461816158,0.0578959220636768,-0.00722647895360627,-0.0962507293922805,0.0574629131804545,0.00215543609652475,-0.0819053690226763,0.0674524111154637,0.51
"Participation-margin CATE","Marital status (detailed)","Widowed - Never married",-0.0114755177309691,-0.0780015338790407,0.0323561171503321,-0.01220600671676,-0.0796007629188784,0.032515959436625,0.00117314944756026,-0.0672833400513437,0.0428713266178236,0.4045
"Participation-margin CATE","Marital status (detailed)","Widowed - Under 16",0.0516454728016542,-0.0197260086440656,0.113890979985185,0.0565523266337484,-0.0135692120049554,0.116943926945817,0.00173871151626913,-0.00881382312596435,0.121918476393461,0.94575
"Participation-margin CATE","Marital status (detailed)","Divorced - Separated",0.0106389121424315,-0.0678665869096791,0.0683035223922056,0.00934159747816851,-0.0682111544696339,0.0671775913200187,0.00231350717085406,-0.0517107100869993,0.0703939050433363,0.7365
"Participation-margin CATE","Marital status (detailed)","Divorced - Never married",0.00539717949207329,-0.0316876213874447,0.0396087393851505,0.00436206971501474,-0.0332967356077733,0.0393901205626571,0.00121353523872324,-0.0281259165603605,0.03685005599039,0.704875
"Participation-margin CATE","Marital status (detailed)","Divorced - Under 16",0.0685181700246966,0.0164316304542055,0.119791041536483,0.0731204030655232,0.0218801124909801,0.122842011396547,0.00165904264487222,0.0229496748743112,0.123291131256735,0.998375
"Participation-margin CATE","Marital status (detailed)","Separated - Never married",-0.00524173265035825,-0.0610097685087198,0.0731575709788047,-0.00497952776315377,-0.0620299063390044,0.073095413102723,0.00213174218471089,-0.0651290551571355,0.055169999630828,0.305625
"Participation-margin CATE","Marital status (detailed)","Separated - Under 16",0.057879257882265,-0.00801884812982753,0.142482610607648,0.0637788055873547,-0.00230004853943573,0.147778340351463,0.00238903279525846,-0.00853441656472582,0.136092027739435,0.971125
"Participation-margin CATE","Marital status (detailed)","Never married - Under 16",0.0631209905326233,0.0172255275230997,0.111234291604987,0.0687583333505084,0.0238556476308819,0.114668713835132,0.0015109415142451,0.0222755559499462,0.115241110751071,0.99925
