"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias","CATE_RMSE_Median","ATE_AbsErr_Median","N_Seeds","N_Diverged","Diverge_Rate"
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"BCF-Linear",0.258712222077788,0.0620794451536792,0.89548,0.110525945041016,0.535701803318448,0.0805791200136298,0.0242985896605959,0.196457958793125,0.049159365015942,100,0,0
"DGP C: Tweedie Semicontinuous",100,3,0.4,"DPglm",0.76831036179345,0.202057086213926,0.9997,0.0185511875981647,89.7687768407595,0.26421264050492,0.0533938995606798,0.733944055032389,0.158260524500525,100,0,0
"DGP C: Tweedie Semicontinuous",250,3,0.4,"DPglm",0.479402646152834,0.121067188687665,0.9994,0.0206007150461158,53.3577353743205,0.146427266559098,0.0479570749924527,0.468822933109156,0.109966771602989,100,0,0
"DGP C: Tweedie Semicontinuous",500,3,0.4,"DPglm",0.404019144296589,0.0957132905327094,0.99948,0.0215245821771761,37.8743954441257,0.114022424064021,0.0576139170351956,0.35756743444595,0.0841906755184527,100,0,0
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"DPglm",0.307011527410986,0.0709044091651688,0.99883,0.04973760597022,27.1945136129938,0.0865151741364779,0.0494839739701632,0.281485131649921,0.0621431249015265,100,0,0
"DGP C: Tweedie Semicontinuous",100,3,0.4,"Gamma Hurdle",6092865361.81261,878008947.455504,0.8767,0.0153358044354573,1867955592.92641,8780084166.83968,878007886.256431,0.832691170837202,0.209553086070706,100,2,0.02
"DGP C: Tweedie Semicontinuous",250,3,0.4,"Gamma Hurdle",83286.7927969132,42803.7811125294,0.85632,-0.0398352987657958,60427.1385613474,428036.42118115,42803.7444127832,0.453315218564001,0.128853350277746,100,1,0.01
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma Hurdle",38029501698.2585,7796726237.61258,0.81432,-0.0597968397660632,171697438476.516,63411444748.5874,7796723896.50225,0.369160392126819,0.121625525527375,100,5,0.05
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"Gamma Hurdle",1877408105.41565,1620115088.06411,0.7696,-0.0758832489140208,1144178364.04272,16068968811.4261,1599304327.11511,0.305384712144235,0.11934280465367,100,3,0.03
"DGP C: Tweedie Semicontinuous",100,3,0.4,"Gamma +.01",8430129110.93778,1770818626.17729,0.76,0.0349015329631486,3641672578.549,11031119924.8011,1288015315.45125,1.55415650373355,0.357842538734144,100,10,0.1
"DGP C: Tweedie Semicontinuous",250,3,0.4,"Gamma +.01",2387993173.14644,1451330589.1183,0.81684,-0.0182056214460691,213737267022.438,14414255409.0323,1431453238.43801,0.630673103280968,0.175272283464623,100,7,0.07
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma +.01",18918431902.4677,13013797515.0185,0.76256,-0.0448859681207417,222185515105.646,122846165562.07,12029889818.598,0.45997825303253,0.147231486041553,100,7,0.07
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"Gamma +.01",67264703048.9993,58106609199.8345,0.74057,-0.0578132194899932,26002438511.1321,522358132750.145,58106609199.8128,0.355713331554388,0.138017398814979,100,6,0.06
"DGP C: Tweedie Semicontinuous",100,3,0.4,"ZIC-BCF-Smear",0.267495520154341,0.143109185458712,0.974,0.112418917129235,1.21141818794106,0.179306087167508,0.0359593944007983,0.215386463197788,0.117645527230973,100,0,0
"DGP C: Tweedie Semicontinuous",250,3,0.4,"ZIC-BCF-Smear",0.230998286350654,0.112311514996512,0.961,0.165730834680672,0.887607489769135,0.136120838892799,0.0294029207435622,0.210436998248921,0.107753293059285,100,0,0
"DGP C: Tweedie Semicontinuous",500,3,0.4,"ZIC-BCF-Smear",0.250315813399444,0.0823956421869748,0.94648,0.174655062870525,0.703580062819881,0.101026114473118,0.0303728138144462,0.187855733781141,0.0654831196916185,100,0,0
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"ZIC-BCF-Smear",0.215664513198817,0.0713533349735765,0.92309,0.226714195605439,0.530591475316256,0.0839211116472982,0.0475646358534722,0.18661764637654,0.066492769899458,100,0,0
